(1, 0, 677.6332048864452, 5.105491048447088)
(1, 1, 708.9724523467913, 6.028254903082059)
(1, 2, 730.2802018299819, 6.282716576930803)
(1, 3, 741.389733715691, 7.004942109165566)
(1, 4, 779.6089391645856, 7.178263718730401)
(1, 5, 705.0503753861286, 6.182295708742332)
(1, 6, 641.8625340181275, 5.084669309889141)
(2, 0, 712.4344267326927, 6.2700441159619835)
(2, 1, 744.3522343168098, 7.171253813909811)
(2, 2, 761.274001474747, 7.401609077138599)
(2, 3, 768.5573873394951, 7.986557115143247)
(2, 4, 789.8212484920385, 7.732315158435607)
(2, 5, 715.3562721300074, 6.197232160746488)
(2, 6, 650.5681059580934, 5.05093862296973)
(3, 0, 717.2897909836105, 6.578877973112787)
(3, 1, 739.2301369582574, 7.491243763977402)
(3, 2, 753.2747551731189, 7.6438956411804035)
(3, 3, 761.3535938045645, 8.319559204840157)
(3, 4, 767.8244321443198, 8.582236879839387)
(3, 5, 732.1996751845037, 6.620605990915905)
(3, 6, 670.4343147938746, 5.472102868333189)
(4, 0, 732.3850208500256, 7.147629180205293)
(4, 1, 644.4930647576459, 5.743551208879509)
(4, 2, 698.1521852375985, 6.713198944772668)
(4, 3, 703.0670023733395, 7.6945109548439765)
(4, 4, 756.0937353091468, 7.2752571691282)
(4, 5, 680.4830742518656, 6.509106287811422)
(4, 6, 628.6510943087764, 5.358327822661796)
(5, 0, 692.1301276682674, 6.345260799632438)
(5, 1, 711.9766061052428, 7.214401657744836)
(5, 2, 728.568882842706, 7.805862158497533)
(5, 3, 732.7172444900053, 8.430651440436058)
(5, 4, 769.673629005616, 7.616482339316742)
(5, 5, 711.4946792660788, 6.729784740287625)
(5, 6, 656.4469773711295, 5.660596937897844)
(6, 0, 697.5120319327052, 6.800440213818198)
(6, 1, 711.4537933710445, 7.411926422358473)
(6, 2, 736.188887074052, 7.6818547466910365)
(6, 3, 767.8826207798576, 7.867418238004004)
(6, 4, 769.6161280444252, 8.466312360706356)
(6, 5, 700.5413806472675, 7.061146478632021)
(6, 6, 658.9090153557141, 6.028640068640084)
(7, 0, 721.5566962736118, 6.709857587259931)
(7, 1, 731.3554791726156, 7.844106236092913)
(7, 2, 757.1953969939582, 7.655353829465392)
(7, 3, 744.842456412559, 8.036269385656853)
(7, 4, 770.0564112500292, 7.741446540880511)
(7, 5, 694.4431391341583, 5.983171733302982)
(7, 6, 631.5527983018342, 4.981597301623686)
(8, 0, 647.9717556926994, 5.439941742955755)
(8, 1, 697.8764206574342, 6.386539997717756)
(8, 2, 713.6673430227812, 6.71437587457527)
(8, 3, 730.0715430902573, 7.0554027056339175)
(8, 4, 739.2233150478196, 6.921001026108831)
(8, 5, 672.0529506525265, 5.583901687956226)
(8, 6, 616.6988870316762, 4.765171684854094)
(9, 0, 670.7574494743712, 5.998121370830038)
(9, 1, 687.6131582160012, 6.5471465500098835)
(9, 2, 706.0349504487052, 6.888839779005555)
(9, 3, 731.9964292984848, 7.075735502522615)
(9, 4, 741.7509859785511, 7.523522080276519)
(9, 5, 685.3763881259013, 6.203736649763482)
(9, 6, 642.1738038545279, 5.356556283873866)
(10, 0, 709.4406893464625, 6.684950685863273)
