OBJECTID;id_arc;id_arc_tra;SHAPE.LEN;geo_shape;geo_point_2d
1413;1740.0;6023;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.326640648738509, 48.87315080549591], [2.325842364897335, 48.87207242301506]]}";48.8726116143, 2.32624150682
1417;1744.0;4057;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.32828222965421, 48.88393404574459], [2.327923344444695, 48.88374922914077], [2.327398646496175, 48.883692425281275]]}";48.8837731852, 2.32785246368
1418;1746.0;4054;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3285832681017222, 48.88383184446816], [2.329456410434569, 48.884408769799556]]}";48.8841203071, 2.32901983927
1421;1775.0;4977;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.374431486248435, 48.879666828793354], [2.374374667075688, 48.879970522589865], [2.374227982844271, 48.88039720928581], [2.374049209435384, 48.88071164983713], [2.373760575363677, 48.8810277880357], [2.373283346105044, 48.881260837702804]]}";48.8805802505, 2.37400770133
1425;1779.0;6627;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.379566720332178, 48.87634302792685], [2.37893801880899, 48.87642155583599], [2.378194169838965, 48.87648086171387]]}";48.8764195629, 2.37888122415
1429;1783.0;6628;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.37976543230361, 48.87622468113433], [2.381257119576767, 48.875961187879895]]}";48.8760929345, 2.38051127594
2019;3576.0;5368;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.380836794094998, 48.90037374188186], [2.378071783380704, 48.90032325247156], [2.376040598193217, 48.900459547347424]]}";48.9003666882, 2.3784374784
2024;3581.0;5363;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.401125850688332, 48.882605058859106], [2.398703040124386, 48.88449535103706], [2.398113951028512, 48.88513395809805], [2.397711246824924, 48.88570045034045], [2.397389625847679, 48.88628041985342]]}";48.88430766, 2.39910925539
2026;3583.0;5361;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.410144880161841, 48.87569689191696], [2.408166369773749, 48.87890993621005], [2.407440213629919, 48.87967328997364], [2.406667810461562, 48.88015084550847], [2.405449609507342, 48.88066697720928], [2.40451888225461, 48.88092343860316]]}";48.8787919648, 2.40772760312
2040;3597.0;5418;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.292264753062139, 48.8883825373487], [2.290974733597852, 48.88771402358501], [2.286116808618565, 48.884682628163155]]}";48.8865727308, 2.28916790001
2046;3603.0;5430;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276833700519623, 48.875583570657035], [2.276172375688692, 48.87510634274068], [2.275199478693857, 48.87390922053314]]}";48.8747973087, 2.27596851535
2066;3623.0;5440;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.259519517741832, 48.85777671458364], [2.261403309811838, 48.85853570419756], [2.261728653602587, 48.858671175746984], [2.262222110482891, 48.85891829864723], [2.262805348057754, 48.859285647412044]]}";48.8584767759, 2.26118962613
2068;3625.0;5455;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.252199634528115, 48.85103197219493], [2.252287321317503, 48.851775524660496], [2.252514539539609, 48.85228336955577], [2.252775767189583, 48.85268092845695], [2.253201509098055, 48.85322700921463], [2.253671529624475, 48.85366179559558], [2.254341018971483, 48.85413310422794]]}";48.8527472204, 2.2530068667
2071;3628.0;5452;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.254724059883908, 48.844177538427196], [2.255173491776598, 48.84560007003418], [2.255089177709691, 48.84630941115063], [2.254771912702191, 48.84688267083216]]}";48.8455458361, 2.25499017677
2073;3630.0;5450;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.254661429627632, 48.83818406011625], [2.254311093340655, 48.83891214532611], [2.254055239949445, 48.84037924700215]]}";48.8392596482, 2.25428977183
2075;3632.0;5436;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.264151436845822, 48.86116240308513], [2.26517356042614, 48.862780135306366], [2.267110361722424, 48.86443609833295], [2.268218200893174, 48.8655761534715]]}";48.8634577605, 2.26607402818
2077;3634.0;5428;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.276893690811124, 48.8752718456335], [2.278792674882909, 48.876485097032614], [2.279423981403229, 48.876893471386126], [2.280168356896925, 48.87752289315362]]}";48.8763573099, 2.27856049942
2089;3646.0;5417;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.292386750734395, 48.888225176640255], [2.294099319403203, 48.88875746275266], [2.297415524638402, 48.889649982533356], [2.299148323921644, 48.89052499142514]]}";48.8892648135, 2.29581200468
1129;1230.0;56;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.346803853847629, 48.85308386817961], [2.34628563471026, 48.852163265229436]]}";48.8526235667, 2.34654474428
1130;1231.0;58;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.34553692065594, 48.85083312863437], [2.344874888584406, 48.849607454733984]]}";48.8502202917, 2.34520590462
1133;1234.0;295;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.332114150143614, 48.863712337262776], [2.332677600887843, 48.86453889361634]]}";48.8641256154, 2.33239587552
1134;1235.0;296;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.332677600887843, 48.86453889361634], [2.333566832544713, 48.86575802229386]]}";48.865148458, 2.33312221672
1143;1245.0;523;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.351617986410867, 48.864478216594144], [2.352520368546479, 48.8662189744276]]}";48.8653485955, 2.35206917748
1145;1247.0;6787;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.339988400519861, 48.87189647977231], [2.341544629096024, 48.87165898494493]]}";48.8717777324, 2.34076651481
1149;1251.0;6789;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.347857336388379, 48.87058047843596], [2.349476893122165, 48.87026367628046]]}";48.8704220774, 2.34866711476
1155;1257.0;6742;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.362232458561927, 48.86798665169304], [2.360507933701043, 48.86828919856768]]}";48.8681379251, 2.36137019613
1157;1259.0;549;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.355604135395896, 48.86905126265652], [2.354268278424679, 48.8693321679342]]}";48.8691917153, 2.35493620691
1165;1267.0;253;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.324716208897445, 48.869282883864], [2.327979001362034, 48.869869554033954]]}";48.8695762189, 2.32634760513
1167;1269.0;1814;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.329941292678501, 48.87020382207483], [2.332024614489078, 48.87055196340934]]}";48.8703778927, 2.33098295358
1175;1277.0;1951;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.337051886651924, 48.871538819200204], [2.334442279434561, 48.87107082493736]]}";48.8713048221, 2.33574708304
1177;1279.0;1954;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.33252632909044, 48.8707334596276], [2.3319893511318313, 48.87065042170058]]}";48.8706919407, 2.33225784011
1181;1283.0;4060;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.332706532971309, 48.87032185900036], [2.333685265732238, 48.870127238412714]]}";48.8702245487, 2.33319589935
1184;1286.0;1978;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.338608856942922, 48.86917460046812], [2.340030079717696, 48.86889482135973]]}";48.8690347109, 2.33931946833
1189;1291.0;4062;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.346350999077922, 48.86755720750059], [2.347297504737077, 48.867364545340315]]}";48.8674608764, 2.34682425191
1193;1296.0;559;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.361813573449755, 48.86678284737942], [2.358060963426221, 48.86593115233935]]}";48.8663569999, 2.35993726844
